unique,city_name,state,population,pop_density,gdp,unemployment_rate,college_graduate,household_income,climate,sports_team,landlocked,original_13_colony
C001,New York City,new_york,"8,478,072","29,298.00","1,286",4.9,42.5,"81,228.00",1,1,0,1
C002,Los Angeles,california,"3,878,704","8,304",1295,5.9,39.9,"82,263.00",3,1,0,0
C003,Chicago,illinois,"2,721,308","12,061",894.862,4.6,46.4,"70,386.00",1,1,1,0
C004,Houston,texas,"2,390,125","3,599",633.185,5,38,"64,361.00",6,1,1,0
C005,Phoenix,arizona,"1,673,164","3,105",398.129,4.2,35.9,"85,246.00",3,1,1,0
C006,San Antonio,texas,"1,526,656","2,876",163.061,4.4,29.4,"66,176.00",6,1,1,0
C007,Philadelphia,pennsylvania,"1,573,916",11933,518.5,5.1,36.4,"60,521.00",5,1,1,1
C008,San Diego,california,"1,404,452","4,256",314.9,5,53.6,"111,032.00",6,1,0,0
C009,Dallas,texas,"1,326,087","3,841",688.928,4.4,39.9,"74,323.00",6,1,1,0
C010,Fort Worth,texas,"1,008,106","2,646",744,4.4,33.5,"82,503.00",6,0,1,0
C011,Jacksonville,florida,"1,009,833","1,271",129.095,3.8,34.4,"72,389.00",6,1,0,0
C012,Austin,texas,"993,588","3,007",248.11,3.9,60.7,"90,430.00",6,1,1,0
C013,San Jose,california,"997,368","5,683",422.817,4.7,49,"148,226.00",6,1,1,0
C014,Charlotte,north_carolina,"943,476","2,837",228.9,4.1,49.4,"86,416.00",1,1,1,1
C015,Columbus,ohio,"933,263","4,117",182.088,4.7,38.7,"67,048.00",1,1,1,0
C016,Indianapolis,indiana,"891,484","2,455",184.4,3.6,35.2,"66,900.00",1,1,1,0
C017,San Francisco,california,"827,526","18,635",778.9,4.8,60.9,"139,801.00",6,1,0,0
C018,Seattle,washington,"780,995","8,795",566.742,4.6,70.1,"118,745.00",6,1,0,0
C019,Oklahoma City,oklahoma,"712,919","1,123",100.054,3.3,36.8,"70,040.00",6,1,1,0
C020,Denver,colorado,"729,019","4,674",311.876,3.7,58.6,"92,504.00",3,1,1,0
C021,Nashville,tennessee,"704,963","1,449",204.861,3,50.7,"80,090.00",6,1,1,0
C022,Washington,district_of_colombia,"702,250","11,286",714.685,4.3,65.5,"109,707.00",5,1,1,0
C023,El Paso,texas,"681,723","2,627",48.609,4.9,28.7,"59,932.00",6,0,1,0
C024,Las Vegas,nevada,"678,922","4,527",160.728,5.6,28,"78,556.00",3,1,1,0
C025,Boston,massachusetts,"673,458","13,989",610.486,4.5,55.4,"97,791.00",1,1,0,1
C026,Detroit,michigan,"645,705","4,608",331.333,4.3,18.8,"39,209.00",1,1,1,0
C027,Louisville,kentucky,"640,796","1,948",90.836,4,33.6,"67,251.00",6,1,1,0
C028,Portland,oregon,"635,749","4,888",218.894,5.3,54.5,"91,478.00",6,1,1,0
